iter	Logloss	AUC	Accuracy
379	0.492740341	0.8477624059	0.7612436615
380	0.4926418939	0.8478316963	0.7613004238
381	0.492553018	0.8478906453	0.7613004238
382	0.4924625532	0.8479369879	0.7613429955
383	0.4923541653	0.8479881585	0.7614565201
384	0.492270574	0.8480401635	0.761480171
385	0.4921980321	0.8480951786	0.7615511239
386	0.4921276705	0.8481361568	0.7615889654
387	0.4920574567	0.8481731117	0.7616315371
388	0.4919911232	0.8482218087	0.7617119504
389	0.4918965564	0.8482672572	0.7617876334
390	0.491803246	0.8483261466	0.7617923636
391	0.4917181026	0.8483710885	0.7618727768
392	0.491627379	0.8484399021	0.7619437297
393	0.4915380227	0.848495096	0.7620667146
394	0.4914459688	0.8485419154	0.7620714448
395	0.4913673294	0.8485949337	0.7620998259
396	0.4912518463	0.8486742973	0.7620194127
397	0.4911808564	0.8487164378	0.7620004919
398	0.4910999998	0.8487852514	0.7622180807
399	0.4910266818	0.8488387465	0.7621660486
400	0.490941834	0.8489118516	0.7621234769
401	0.4908759809	0.8489597142	0.7622322712
402	0.4907824119	0.8490190506	0.762251192
403	0.490684593	0.849065721	0.7623741769
404	0.4906155248	0.8491191268	0.7625823053
405	0.4905537737	0.8491663635	0.7626154166
406	0.4904895096	0.8492026329	0.762724211
407	0.4904148613	0.8492287397	0.7627336714
408	0.4903404717	0.8492945135	0.762724211
409	0.4902541088	0.8493604362	0.7627289412
410	0.490176578	0.8494139016	0.7627857035
411	0.4900940583	0.8494535089	0.7628140846
412	0.4900107627	0.8495149314	0.7629417997
413	0.489913572	0.8495814204	0.7629796413
414	0.4898416214	0.8496387303	0.7629938318
415	0.4897323097	0.8497085273	0.7631404677
416	0.4896511204	0.8497505188	0.7632256111
417	0.4895633532	0.8498061299	0.7631546583
418	0.4894833095	0.8498594463	0.763220881
419	0.4894002356	0.8499087989	0.7632445319
420	0.4893026384	0.8499580324	0.7632823734
421	0.4892338659	0.8500017822	0.7633012942
422	0.4891535635	0.8500578105	0.7634337395
423	0.4890634313	0.8501285017	0.7633249451
424	0.4889921828	0.8501656055	0.7634526603
425	0.4888930336	0.8502525687	0.7635519942
426	0.4888190135	0.8503164947	0.7635567244
427	0.4887317636	0.850379765	0.7636087565
428	0.4886751492	0.8504132032	0.7637979641
429	0.4886052311	0.8504781425	0.7639540604
430	0.4885162444	0.8505339622	0.7639493302
431	0.4884428525	0.8505874276	0.7638641868
432	0.4883690542	0.8506330848	0.7639824415
433	0.4882924472	0.8506888747	0.7640628548
434	0.4882139557	0.8507341146	0.7641479982
435	0.4881401573	0.8507737815	0.7641527284
436	0.4880631069	0.8508266211	0.7643324756
437	0.4880037209	0.8508719802	0.7642662529
438	0.4879370548	0.8509031832	0.7642804435
439	0.4878630716	0.8509682715	0.7644554605
440	0.4877890146	0.8510150313	0.7644601907
441	0.4877205377	0.8510622382	0.7644838417
442	0.4876511739	0.8511034846	0.7645122228
443	0.4875857273	0.8511591554	0.7645879059
